Remark,Food name,Weight,Edible,Energy,Protein,Fat,CHO,Dietary fiber,Ash,Cholesterol,Vitamin A,Retinol,Vitamin E,Vitamin C,Vitamin B1 (thaimin),Vitamin B2 (riboflavin),Vitamin B3 (niacin),Calcium,Phosphorous,Potassium,Sodium,Magnesium,Iron,Zinc,Selenium,Copper,Manganese
蔬菜类,莲藕,100,88,73,1.9,0.2,16.4,1.2,1,,3,,0.73,44,0.09,0.03,0.3,39,58,243,44.2,19,1.4,0.23,0.39,0.11,1.3
蔬菜类,茭白,100,74,26,1.2,0.2,5.9,1.9,0.5,,5,,0.99,5,0.02,0.03,0.5,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49
蔬菜类,荸荠,100,78,61,1.2,0.2,14.2,1.1,0.8,,3,,0.65,7,0.02,0.02,0.7,4,44,306,15.7,12,0.6,0.34,0.7,0.07,0.11
,薯芋类菌菇类,,,,,,,,,,,,,,,,,,,,,,,,,,
蔬菜类,山药,100,83,57,1.9,0.2,12.4,0.8,0.7,,,,0.24,5,0.05,0.02,0.3,16,34,213,18.6,20,0.3,0.27,0.55,0.24,0.12
蔬菜类,芋艿,100,84,81,2.2,0.2,18.1,1,0.9,,27,,0.45,6,0.06,0.05,0.7,36,55,378,33.1,23,1,0.49,1.45,0.37,0.3
蔬菜类,金针菇,100,100,32,2.4,0.4,6,2.7,1,,5,,1.14,2,0.15,0.19,4.1,,97,195,4.3,17,1.4,0.39,0.28,0.14,0.1
蔬菜类,干木耳,100,100,265,12.1,1.5,65.6,29.9,5.3,,17,,11.34,,0.17,0.44,2.5,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86
蔬菜类,香菇,100,100,26,2.2,0.3,5.2,3.3,0.6,,,,,1,,0.08,2,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25
蔬菜类,干银耳,100,96,261,10,1.4,67.3,30.4,6.7,,8,,1.26,,0.05,0.25,5.3,36,369,1588,82.1,54,4.1,3.03,2.95,0.08,0.17
蔬菜类,海带,100,100,13,1.2,0.1,2.1,0.5,2.2,,,,1.85,,0.02,0.15,1.3,46,22,246,8.6,25,0.9,0.16,9.54,,0.07
蔬菜类,干海带,100,98,90,1.8,0.1,23.4,6.1,4.2,,40,,0.85,,0.01,0.1,0.8,348,52,761,327.4,129,4.7,0.65,5.84,0.14,1.14
蔬菜类,干紫菜,100,100,250,26.7,1.1,44.1,21.6,15.4,,228,,1.82,2,0.27,1.02,7.3,264,350,1796,710.5,105,54.9,2.47,7.22,1.68,4.32
蔬菜类,千张,100,100,262,24.5,16,5.5,1,2,,5,,26.78,,0.04,0.05,0.2,49,490,837,83,162,10.8,3.2,6.14,0.78,2.9
